event_name,event_type,sdk_version,onprem_time_sec,onprem_exit_code,onprem_gpu,cloud_time_sec,cloud_exit_code,cloud_gpu,cloud_onprem_ratio,time_diff_sec,fps_category,is_pilot_event
2024_04_29_18_53_58_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,567.4,0,RTX_4000_Ada,1015.3,0,Tesla_T4,1.789,447.9,600,no
2024_04_29_18_54_46_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,626.1,0,RTX_4000_Ada,1170.5,0,Tesla_T4,1.87,544.4,600,no
2024_04_29_18_55_00_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,537.2,0,RTX_4000_Ada,956.6,0,Tesla_T4,1.781,419.4,600,no
2024_04_29_18_55_37_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,580.0,0,RTX_4000_Ada,1057.5,0,Tesla_T4,1.823,477.5,600,yes
2024_04_29_18_55_52_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,662.0,0,RTX_4000_Ada,1165.9,0,Tesla_T4,1.761,503.9,600,no
2024_04_29_18_56_08_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,622.8,0,RTX_4000_Ada,1095.9,0,Tesla_T4,1.76,473.1,600,no
2024_04_29_18_56_30_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,605.9,0,RTX_4000_Ada,1057.3,0,Tesla_T4,1.745,451.4,600,no
2024_04_29_18_56_48_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,633.0,0,RTX_4000_Ada,1098.0,0,Tesla_T4,1.735,465.0,600,no
2024_04_29_18_57_05_Pittsburgh_Pirates_26_Bailey_Falter_Away,pitching,6.3.9,603.7,0,RTX_4000_Ada,1024.1,0,Tesla_T4,1.696,420.4,600,no
2024_04_29_19_13_34_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,530.8,0,RTX_4000_Ada,967.3,0,Tesla_T4,1.822,436.5,300,no
2024_04_29_19_32_18_Oakland_Athletics_35_Joe_Boyle_Home,pitching,6.3.9,558.5,0,RTX_4000_Ada,1074.8,0,Tesla_T4,1.924,516.3,300,no
2024_04_29_19_40_31_Oakland_Athletics_12_Max_Schuemann_Home,batting,6.3.9,394.0,0,RTX_4000_Ada,781.6,0,Tesla_T4,1.984,387.6,300,no
2024_04_29_19_45_29_Pittsburgh_Pirates_14_Joey_Bart_Away,batting,6.3.9,329.5,0,RTX_4000_Ada,644.9,0,Tesla_T4,1.957,315.4,600,no
2024_04_29_20_09_08_Pittsburgh_Pirates_59_Roansy_Contreras_Away,pitching,6.3.9,742.6,0,RTX_4000_Ada,1382.6,0,Tesla_T4,1.862,640.0,600,no
2024_04_29_20_19_04_Oakland_Athletics_56_Dany_Jimenez_Home,pitching,6.3.9,545.9,0,RTX_4000_Ada,1010.8,0,Tesla_T4,1.852,464.9,300,no
2024_04_29_20_26_42_Oakland_Athletics_1_Esteury_Ruiz_Home,batting,6.3.9,355.6,0,RTX_4000_Ada,692.1,0,Tesla_T4,1.946,336.5,300,no
2024_04_29_20_54_48_Pittsburgh_Pirates_10_Bryan_Reynolds_Away,batting,6.3.9,316.3,0,RTX_4000_Ada,611.2,0,Tesla_T4,1.932,294.9,600,no
2024_05_22_19_01_29_Colorado_Rockies_19_Charlie_Blackmon_Away,batting,6.3.9,486.8,0,RTX_4000_Ada,899.1,0,Tesla_T4,1.847,412.3,300,no
2024_05_22_20_50_56_Oakland_Athletics_5_JD_Davis_Home,batting,6.3.9,382.8,0,RTX_4000_Ada,747.4,0,Tesla_T4,1.952,364.6,300,no
2024_05_22_20_57_27_Colorado_Rockies_7_Brendan_Rodgers_Away,batting,6.3.9,726.1,0,RTX_4000_Ada,1480.2,0,Tesla_T4,2.039,754.1,300,no
2025_01_30_16_16_14_Rice_Pitching_Lab_30_Jake_Mader-Cooper_Home,pitching,6.4.0,463.9,0,RTX_4000_Ada,910.3,0,Tesla_T4,1.962,446.4,300,no
2025_02_21_21_20_15_Arkansas_Razorbacks_9_Wehiwa_Aloy_Home,batting,6.3.9,296.9,0,RTX_4000_Ada,611.0,0,Tesla_T4,2.058,314.1,300,no
2025_03_02_11_41_00_Ohio_State_Buckeyes_16_Mason_Eckelman_Home,batting,6.3.9,256.0,0,RTX_4000_Ada,521.8,0,Tesla_T4,2.038,265.8,300,no
2025_03_02_12_36_22_Ohio_State_Buckeyes_2_Trey_Lipsey_Home,batting,6.3.9,242.2,0,RTX_4000_Ada,491.2,0,Tesla_T4,2.028,249.0,300,no
2025_03_02_13_07_51_Ohio_State_Buckeyes_11_Marc_Stephens_Home,batting,6.3.9,235.6,0,RTX_4000_Ada,489.3,0,Tesla_T4,2.077,253.7,300,no
2025_03_26_16_54_20_Tampa_Bay_Rays_8_Brandon_Lowe_Home,batting,6.3.9,216.9,0,RTX_4000_Ada,458.3,0,Tesla_T4,2.113,241.4,300,no
2025_03_26_17_13_57_Tampa_Bay_Rays_57_Drew_Rasmussen_Home,pitching,6.4.0,588.6,0,RTX_4000_Ada,1214.2,0,Tesla_T4,2.063,625.6,300,no
2025_03_26_17_27_16_Tampa_Bay_Rays_2_Yandy_Diaz_Home,batting,6.3.9,206.9,0,RTX_4000_Ada,429.8,0,Tesla_T4,2.077,222.9,300,yes
2025_03_26_17_39_08_Tampa_Bay_Rays_6_Taylor_Walls_Home,batting,6.3.9,236.1,0,RTX_4000_Ada,490.5,0,Tesla_T4,2.078,254.4,300,no
2025_03_26_17_50_51_Tampa_Bay_Rays_11_Shane_Baz_Home,pitching,6.4.0,301.6,0,RTX_4000_Ada,595.1,0,Tesla_T4,1.973,293.5,300,no
2025_03_26_18_06_27_Tampa_Bay_Rays_11_Shane_Baz_Home,pitching,6.4.0,351.3,0,RTX_4000_Ada,688.7,0,Tesla_T4,1.96,337.4,300,no
2025_04_05_16_21_18_Philadelphia_Phillies_17_Max_Kepler_ALT1,batting,6.3.9,947.6,0,RTX_4000_Ada,2153.1,0,Tesla_T4,2.272,1205.5,600,no
2025_04_05_16_25_17_Los_Angeles_Dodgers_13_Max_Muncy_ALT,batting,6.3.9,904.7,0,RTX_4000_Ada,2210.4,0,Tesla_T4,2.443,1305.7,300,no
2025_04_05_17_11_25_Philadelphia_Phillies_8_Nick_Castellanos_ALT1,batting,6.3.9,894.4,0,RTX_4000_Ada,2163.9,0,Tesla_T4,2.419,1269.5,600,no
2025_04_06_13_58_25_Toronto_Blue_Jays_22_Ernie_Clement_Home,batting,6.3.9,236.6,0,RTX_4000_Ada,541.9,0,Tesla_T4,2.29,305.3,300,no
2025_04_06_14_02_33_Toronto_Blue_Jays_55_Tyler_Heineman_Home,batting,6.3.9,250.2,0,RTX_4000_Ada,558.7,0,Tesla_T4,2.233,308.5,300,no
2025_04_06_14_41_13_New_York_Mets_27_Mark_Vientos_Home,batting,6.3.9,215.4,0,RTX_4000_Ada,481.2,0,Tesla_T4,2.234,265.8,300,no
2025_04_06_14_52_25_New_York_Mets_23_David_Peterson_Home,pitching,6.4.0,895.9,0,RTX_4000_Ada,2018.9,0,Tesla_T4,2.253,1123.0,300,no
2025_04_06_14_56_57_Toronto_Blue_Jays_25_Anthony_Santander_Home,batting,6.3.9,231.3,0,RTX_4000_Ada,527.3,0,Tesla_T4,2.28,296.0,300,no
2025_04_06_15_29_11_Toronto_Blue_Jays_57_Chad_Green_Home,pitching,6.4.0,677.9,0,RTX_4000_Ada,1569.9,0,Tesla_T4,2.316,892.0,300,yes
2025_04_08_12_44_16_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,459.1,0,RTX_4000_Ada,1028.0,0,Tesla_T4,2.239,568.9,300,no
2025_04_08_12_44_28_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,628.0,0,RTX_4000_Ada,1472.2,0,Tesla_T4,2.344,844.2,300,no
2025_04_08_12_44_41_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,523.5,0,RTX_4000_Ada,1187.2,0,Tesla_T4,2.268,663.7,300,yes
2025_04_08_12_44_55_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,641.1,0,RTX_4000_Ada,1455.4,0,Tesla_T4,2.27,814.3,300,no
2025_04_08_12_45_22_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,907.3,0,RTX_4000_Ada,2174.1,0,Tesla_T4,2.396,1266.8,300,no
2025_04_08_12_45_58_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,504.0,0,RTX_4000_Ada,1179.9,0,Tesla_T4,2.341,675.9,300,no
2025_04_08_12_46_44_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,520.5,0,RTX_4000_Ada,1199.3,0,Tesla_T4,2.304,678.8,300,no
2025_04_08_12_49_00_Appalachian_State_Baseball_37_Caleb_Cross_Home,pitching,6.3.9,669.3,0,RTX_4000_Ada,1639.0,0,Tesla_T4,2.449,969.7,300,no
2025_04_22_15_40_47_Boston_Red_Sox_50_Kutter_Crawford_Home,pitching,6.4.0,435.5,0,RTX_4000_Ada,950.4,0,Tesla_T4,2.182,514.9,300,no
2025_04_22_15_41_13_Boston_Red_Sox_50_Kutter_Crawford_Home,pitching,6.4.0,398.9,0,RTX_4000_Ada,878.5,0,Tesla_T4,2.202,479.6,300,no
2025_04_22_15_43_06_Boston_Red_Sox_50_Kutter_Crawford_Home,pitching,6.4.0,489.8,0,RTX_4000_Ada,1155.8,0,Tesla_T4,2.36,666.0,300,no
2025_04_30_20_17_04_Kansas_City_Royals_8_Drew_Waters_Away,batting,6.3.9,266.3,0,RTX_4000_Ada,621.7,0,Tesla_T4,2.335,355.4,300,no
2025_04_30_21_27_21_Tampa_Bay_Rays_14_Chandler_Simpson_Home,batting,6.3.9,241.7,0,RTX_4000_Ada,557.7,0,Tesla_T4,2.307,316.0,300,no
2025_05_04_15_35_32_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,pitching,6.4.0,666.8,0,RTX_4000_Ada,1492.3,0,Tesla_T4,2.238,825.5,300,no
2025_05_04_16_17_20_Rocket_City_Trash_Pandas__17_Joel_Hurtado_Away,pitching,6.4.0,671.9,0,RTX_4000_Ada,1522.3,0,Tesla_T4,2.266,850.4,300,no
2025_05_04_17_25_13_Rocket_City_Trash_Pandas__21_Camden_Minacci_Away,pitching,6.4.0,671.4,0,RTX_4000_Ada,1428.6,0,Tesla_T4,2.128,757.2,300,no
2025_05_12_11_42_57_Boston_Red_Sox_80_Richard_Fitts_Home,pitching,6.4.0,402.8,0,RTX_4000_Ada,979.9,0,Tesla_T4,2.433,577.1,300,yes
2025_05_12_11_57_10_Boston_Red_Sox_80_Richard_Fitts_Home,pitching,6.4.0,399.3,0,RTX_4000_Ada,939.8,0,Tesla_T4,2.354,540.5,300,no
2025_05_12_11_57_29_Boston_Red_Sox_80_Richard_Fitts_Home,pitching,6.4.0,310.0,0,RTX_4000_Ada,731.5,0,Tesla_T4,2.36,421.5,300,no
2025_05_16_20_38_43_Philadelphia_Phillies_7_Trea_Turner_ALT3,batting,6.3.9,976.7,0,RTX_4000_Ada,2497.7,0,Tesla_T4,2.557,1521.0,600,no
2025_05_16_21_32_36_Philadelphia_Phillies_10_JT_Realmuto_ALT3,batting,6.3.9,1025.8,0,RTX_4000_Ada,2674.3,0,Tesla_T4,2.607,1648.5,600,yes
2025_05_16_23_09_35_Pittsburgh_Pirates_29_Alexander_Canario_Away,batting,6.3.9,982.3,0,RTX_4000_Ada,2511.0,0,Tesla_T4,2.556,1528.7,600,no
2025_05_16_23_16_39_Pittsburgh_Pirates_62_Matt_Gorski_Away,batting,6.3.9,999.5,0,RTX_4000_Ada,2524.1,0,Tesla_T4,2.525,1524.6,600,no
2025_06_19_13_15_22_Minnesota_Twins_20_Chris_Paddack_Home,pitching,6.4.0,392.5,0,RTX_4000_Ada,851.8,0,Tesla_T4,2.17,459.3,300,no
2025_06_19_15_06_11_Minnesota_Twins_54_Danny_Coulombe_Home,pitching,6.4.0,306.8,0,RTX_4000_Ada,649.6,0,Tesla_T4,2.117,342.8,300,no
2025_06_19_15_16_24_Cincinnati_Reds_62_Luis_Mey_Home,pitching,6.4.0,300.3,0,RTX_4000_Ada,615.5,0,Tesla_T4,2.05,315.2,300,yes
