event_name,venue,venue_type,event_type,gpu_model,processing_time_sec,exit_code,c3d_valid,c3d_size_bytes,timestamp
2025_09_26_21_52_38_Texas_Rangers_88_Phil_Maton_Away,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1197568,2026-02-04 14:43:01
2025_10_15_08_42_50_AZ_Performance_Center_0_Brandon_Enders_Home,RAL,mlb,Pitching,RTX_4000_Ada,623.1,0,false,0,2026-02-04 14:53:24
2025_10_15_08_55_32_AZ_Performance_Center_0_Tyler_Johnson_Home,RAL,mlb,Pitching,RTX_4000_Ada,702.6,0,true,2333184,2026-02-04 15:05:07
2025_10_15_08_56_56_AZ_Performance_Center_0_Tyler_Johnson_Home,RAL,mlb,Pitching,RTX_4000_Ada,690.7,0,true,2378240,2026-02-04 15:16:37
2025_10_20_15_32_57_Appalachian_State_Baseball_36_Logan_Tibbett_Home,unknown,unknown,unknown,RTX_4000_Ada,1.5,139,true,1837568,2026-02-04 15:16:39
2025_10_20_15_43_22_Appalachian_State_Baseball_38_Grant_Gardner_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,3808768,2026-02-04 15:16:40
2025_10_20_16_04_24_Appalachian_State_Baseball_18_Max_Tramontana_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,3428864,2026-02-04 15:16:41
2025_10_20_16_17_00_Appalachian_State_Baseball_31_Tate_Jensen_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,5240832,2026-02-04 15:16:43
2026_01_11_17_05_52_WFU_KinaTrax_Combine_2026_34_Jimmy_Keenan_Home,unknown,unknown,unknown,RTX_4000_Ada,1.3,139,true,1256448,2026-02-04 15:16:44
2026_01_11_17_12_50_WFU_KinaTrax_Combine_2026_7_Blake_Schaaf_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1382912,2026-02-04 15:16:45
2026_01_11_18_26_43_WFU_KinaTrax_Combine_2026_12_Tyler_Figueroa_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1256448,2026-02-04 15:16:47
2026_01_12_13_11_26_Auburn_Tigers_Fall_2025_21_Andreas_Alvarez_Home,unknown,unknown,unknown,RTX_4000_Ada,1.4,139,true,1111040,2026-02-04 15:16:48
